sehir,tarih,aylik_ortalama_ecopulse
Bingöl,2021-09,47.63
Bingöl,2021-10,50.96
Bingöl,2021-11,55.73
Bingöl,2022-01,62.0
Bingöl,2022-02,62.99
Bingöl,2022-05,51.06
Bingöl,2022-06,49.48
Bingöl,2022-07,49.45
Bingöl,2022-08,49.22
Bingöl,2022-09,47.08
Bingöl,2022-10,50.12
Bingöl,2022-11,54.23
Bingöl,2022-12,60.23
Bingöl,2023-01,57.96
Bingöl,2023-02,62.23
Bingöl,2023-06,54.85
Bingöl,2023-07,47.3
Bingöl,2023-08,47.86
Bingöl,2023-09,51.43
Bingöl,2023-10,51.39
Bingöl,2023-11,49.66
Bingöl,2023-12,63.63
